Icd;lab_pat;DescrIntervento;CodInterv;Filler
74103;SPINA BIFIDA CON IDROCEFALO, REGIONE LOMBARE;RIPARAZIONE DI MENINGOCELE SPINALE;0351;
74191;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE CERVICALE;ALTRA CRANIECTOMIA;0125;
74192;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE DORSALE (TORACICA);RIPARAZIONE DI MIELOMENINGOCELE SPINALE;0352;
74193;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE LOMBARE;ALTRA ESPLORAZIONE E DECOMPRESSIONE DEL CANALE VERTEBRALE;0309;
74193;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE LOMBARE;ANASTOMOSI FRA VENTRICOLO, CAVITA' ADDOMINALE E SUOI ORGANI;0234;
74193;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE LOMBARE;ASPORTAZIONE O DEMOLIZIONE DI LESIONE DEL MIDOLLO O DELLE MENINGI SPINALI;034;
74193;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE LOMBARE;RIPARAZIONE DI MENINGOCELE SPINALE;0351;
74193;SPINA BIFIDA SENZA MENZIONE DI IDROCEFALO, REGIONE LOMBARE;RIPARAZIONE DI MIELOMENINGOCELE SPINALE;0352;
7420;ENCEFALOCELE;ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE O TESSUTO CEREBRALE;0159;
7420;ENCEFALOCELE;ALTRA RIPARAZIONE DELLE MENINGI CEREBRALI;0212;
7420;ENCEFALOCELE;ANASTOMOSI FRA VENTRICOLO, CAVITA' ADDOMINALE E SUOI ORGANI;0234;
7420;ENCEFALOCELE;ASPORTAZIONE DI CISTI O VESTIGIA DELLA FESSURA BRANCHIALE;292;
7420;ENCEFALOCELE;RIPARAZIONE DI MENINGOCELE SPINALE;0351;
7421;MICROCEFALIA;ALTRA CRANIOTOMIA;0124;
7421;MICROCEFALIA;APERTURA DI SUTURE DEL CRANIO;0201;
7421;MICROCEFALIA;RACHICENTESI;0331;
7422;DEFORMITA  CONGENITE CON RIDUZIONE DEL CERVELLO;ALTRA TRACHEOSTOMIA PERMANENTE;3129;
7422;DEFORMITA  CONGENITE CON RIDUZIONE DEL CERVELLO;ALTRI INTERVENTI DI RIPARAZIONE E DI PLASTICA SUL MIDOLLO SPINALE;0359;
7422;DEFORMITA  CONGENITE CON RIDUZIONE DEL CERVELLO;APERTURA DI SUTURE DEL CRANIO;0201;
7422;DEFORMITA  CONGENITE CON RIDUZIONE DEL CERVELLO;RACHICENTESI;0331;
7422;DEFORMITA  CONGENITE CON RIDUZIONE DEL CERVELLO;SOSTITUZIONE DI ANASTOMOSI VENTRICOLARE;0242;
7423;IDROCEFALO CONGENITO;ALTRA CRANIOTOMIA;0124;
7423;IDROCEFALO CONGENITO;ALTRA TRACHEOSTOMIA PERMANENTE;3129;
7423;IDROCEFALO CONGENITO;ANASTOMOSI FRA VENTRICOLO, CAVITA' ADDOMINALE E SUOI ORGANI;0234;
7423;IDROCEFALO CONGENITO;APERTURA DI SUTURE DEL CRANIO;0201;
7423;IDROCEFALO CONGENITO;CARDIOTOMIA;3711;
7423;IDROCEFALO CONGENITO;SOSTITUZIONE DI ANASTOMOSI VENTRICOLARE;0242;
7423;IDROCEFALO CONGENITO;VENTRICOLOSTOMIA;022;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;ALTRA CRANIECTOMIA;0125;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;ALTRA CRANIOTOMIA;0124;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;ALTRI INTERVENTI DI RIPARAZIONE E DI PLASTICA SUL MIDOLLO SPINALE;0359;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;ALTRI INTERVENTI PER IL DRENAGGIO VENTRICOLARE;0239;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;APERTURA DI SUTURE DEL CRANIO;0201;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;ASPORTAZIONE DI LESIONI DEL CRANIO;016;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;INSERZIONE DI CATETERE NEL CANALE VERTEBRALE PER INFUSIONE DI SOSTANZE TERAPEUTICHE O PALLIATIVE;0390;
7424;ALTRE ANOMALIE CEREBRALI SPECIFICATE;SOSTITUZIONE DI ANASTOMOSI VENTRICOLARE;0242;
74251;DIASTEMATOMIELIA;RIPARAZIONE DI MIELOMENINGOCELE SPINALE;0352;
7428;ALTRE ANOMALIE SPECIFICATE DEL SISTEMA NERVOSO;ALTRA CRANIECTOMIA;0125;
7429;ANOMALIE NON SPECIFICATE DEL CERVELLO, DEL MIDOLLO SPINALE E DEL SISTEMA NERVOSO;ALTRA CRANIECTOMIA;0125;
7429;ANOMALIE NON SPECIFICATE DEL CERVELLO, DEL MIDOLLO SPINALE E DEL SISTEMA NERVOSO;ALTRA CRANIOTOMIA;0124;
7429;ANOMALIE NON SPECIFICATE DEL CERVELLO, DEL MIDOLLO SPINALE E DEL SISTEMA NERVOSO;ALTRA ESPLORAZIONE E DECOMPRESSIONE DEL CANALE VERTEBRALE;0309;
7429;ANOMALIE NON SPECIFICATE DEL CERVELLO, DEL MIDOLLO SPINALE E DEL SISTEMA NERVOSO;ALTRA OCCLUSIONE CHIRURGICA DI VASI INTRACRANICI;3881;
7429;ANOMALIE NON SPECIFICATE DEL CERVELLO, DEL MIDOLLO SPINALE E DEL SISTEMA NERVOSO;OSTEOTOMIA TOTALE DI ALTRE OSSA FACCIALI CON CONTEMPORANEA RICOSTRUZIONE;7644;
7429;ANOMALIE NON SPECIFICATE DEL CERVELLO, DEL MIDOLLO SPINALE E DEL SISTEMA NERVOSO;SOSTITUZIONE DI ANASTOMOSI VENTRICOLARE;0242;
74300;ANOFTALMIA CLINICA, NON SPECIFICATA;ALTRI INTERVENTI SULL'ORBITA;1698;
74300;ANOFTALMIA CLINICA, NON SPECIFICATA;INSERZIONE SECONDARIA DI IMPIANTO OCULARE;1661;
74300;ANOFTALMIA CLINICA, NON SPECIFICATA;RICOSTRUZIONE DELLA PALPEBRA CON INNESTO O LEMBO DI MUCOSA;0862;
74310;MICROFTALMIA, NON SPECIFICATA;VITRECTOMIA PER VIA ANTERIORE (LIMBARE);1471;
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;ALTRA IRIDECTOMIA;1214;
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;ALTRA RIMOZIONE DEL CORPO VITREO;1472;
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;DACOFRAMMENTAZIONE MECCANICA ED ASPIRAZIONE DELLA CATARATTA;1343;
74312;MICROFTALMIA ASSOCIATA CON ALTRE ANOMALIE DELL'OCCHIO E ANNESSI;ESTRAZIONE EXTRACAPSULARE DEL CRISTALLINO CON TECNICA DI ASPIRAZIONE SEMPLICE (E DI IRRIGAZIONE);133;
