Icd;lab_pat;DescrIntervento;CodInterv;Filler
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;CORREZIONE TOTALE DI TETRALOGIA DI FALLOT;3581;
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;SOSTITUZIONE DI VALVOLA POLMONARE CON BIOPROTESI;3525;
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA POLMONARE SENZA SOSTITUZIONE;3513;
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;VALVULOPLASTICA PERCUTANEA;3596;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;ALLARGAMENTO DI DIFETTO ESISTENTE DEL SETTO ATRIALE;3541;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;ANASTOMOSI ARTERIA CAVA E POLMONARE;3921;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;ANASTOMOSI ARTERIOSO SISTEMICO POLMONARE;390;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;ANGIOPLASTICA O ATERECTOMIA DI VASO NON CORONARICO;3950;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;CARDIOTOMIA;3711;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;CORREZIONE TOTALE DI TRASPOSIZIONE DI GRANDE VASO NON CLASSIFICATO ALTROVE;3584;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;CREAZIONE DI CONDOTTO FRA IL VENTRICOLO SINISTRO E L'AORTA;3593;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;CREAZIONE DI DIFETTO SETTALE NEL CUORE;3542;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;INFUNDIBULECTOMIA;3534;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;PERICARDIOCENTESI;370;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;RESEZIONE DELL'AORTA CON ANASTOMOSI;3834;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA MITRALE SENZA SOSTITUZIONE;3512;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA POLMONARE SENZA SOSTITUZIONE;3513;
7461;ATRESIA E STENOSI DELLA TRICUSPIDE, CONGENITA;VALVULOTOMIA A CUORE CHIUSO, VALVOLA POLMONARE;3503;
7462;ANOMALIA DI EBSTEIN;ALLARGAMENTO DI DIFETTO ESISTENTE DEL SETTO ATRIALE;3541;
7462;ANOMALIA DI EBSTEIN;ALTRA INCISIONE DELLA PLEURA;3409;
7462;ANOMALIA DI EBSTEIN;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
7462;ANOMALIA DI EBSTEIN;ANASTOMOSI ARTERIOSO SISTEMICO POLMONARE;390;
7462;ANOMALIA DI EBSTEIN;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
7462;ANOMALIA DI EBSTEIN;INSERZIONE DI PACE-MAKER PERMANENTE, INIZIALE O SOSTITUZIONE, TIPO DI STRUMENTO NON SPECIFICATO;3780;
7462;ANOMALIA DI EBSTEIN;INSERZIONE DI STENT NON MEDICATO NELL'ARTERIA CORONARICA;3606;
7462;ANOMALIA DI EBSTEIN;RESEZIONE DELL'AORTA CON ANASTOMOSI;3834;
7462;ANOMALIA DI EBSTEIN;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
7462;ANOMALIA DI EBSTEIN;RESEZIONE DI ALTRI VASI TORACICI CON SOSTITUZIONE;3845;
7462;ANOMALIA DI EBSTEIN;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
7462;ANOMALIA DI EBSTEIN;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON PROTESI, TECNICA APERTA;3551;
7462;ANOMALIA DI EBSTEIN;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA POLMONARE SENZA SOSTITUZIONE;3513;
7462;ANOMALIA DI EBSTEIN;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
7462;ANOMALIA DI EBSTEIN;VALVULOPLASTICA PERCUTANEA;3596;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;CREAZIONE DI CONDOTTO FRA IL VENTRICOLO SINISTRO E L'AORTA;3593;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;CREAZIONE DI CONDOTTO FRA VENTRICOLO DESTRO E ARTERIA POLMONARE;3592;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;INSERZIONE DI STENT SU ARTERIA NON CORONARIA;3990;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;INSERZIONE DI UNO STENT VASCOLARE;0045;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;INTERVENTI SULLE TRABECOLE CARNOSE DEL CUORE;3535;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;IPOTERMIA (SISTEMICA) INCIDENTALE PER CHIRURGIA A CUORE APERTO;3962;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;RESEZIONE DELL'AORTA CON ANASTOMOSI;3834;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON PROTESI, TECNICA APERTA;3551;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;RIPARAZIONE DI VASO SANGUIGNO CON PATCH DI TIPO NON SPECIFICATO;3958;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;SOSTITUZIONE DELLA VALVOLA AORTICA CON BIOPROTESI;3521;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA AORTICA SENZA SOSTITUZIONE;3511;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
7463;STENOSI CONGENITA DELLA VALVOLA AORTICA;VALVULOPLASTICA PERCUTANEA;3596;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;ANGIOPLASTICA O ATERECTOMIA DI VASO NON CORONARICO;3950;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;CORREZIONE TOTALE DEL TRONCO ARTERIOSO;3583;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;CREAZIONE DI CONDOTTO FRA VENTRICOLO DESTRO E ARTERIA POLMONARE;3592;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;ENDOARTERIECTOMIA DELL'AORTA;3814;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;RESEZIONE DELL'AORTA CON ANASTOMOSI;3834;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;RESEZIONE DI ALTRI VASI TORACICI CON SOSTITUZIONE;3845;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;SOSTITUZIONE DELLA VALVOLA AORTICA CON BIOPROTESI;3521;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA AORTICA SENZA SOSTITUZIONE;3511;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;VALVULOPLASTICA PERCUTANEA;3596;
7464;INSUFFICIENZA CONGENITA DELLA VALVOLA AORTICA;VALVULOTOMIA A CUORE CHIUSO, VALVOLA TRICUSPIDE;3504;
7465;STENOSI MITRALICA CONGENITA;ALLARGAMENTO DI DIFETTO ESISTENTE DEL SETTO ATRIALE;3541;
7465;STENOSI MITRALICA CONGENITA;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
7465;STENOSI MITRALICA CONGENITA;ANASTOMOSI ARTERIA CAVA E POLMONARE;3921;
7465;STENOSI MITRALICA CONGENITA;ANASTOMOSI ARTERIOSO SISTEMICO POLMONARE;390;
7465;STENOSI MITRALICA CONGENITA;CARDIOTOMIA;3711;
7465;STENOSI MITRALICA CONGENITA;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
7465;STENOSI MITRALICA CONGENITA;CREAZIONE DI CONDOTTO FRA IL VENTRICOLO SINISTRO E L'AORTA;3593;
7465;STENOSI MITRALICA CONGENITA;CREAZIONE DI CONDOTTO FRA VENTRICOLO DESTRO E ARTERIA POLMONARE;3592;
7465;STENOSI MITRALICA CONGENITA;INSERZIONE DI UNO STENT VASCOLARE;0045;
7465;STENOSI MITRALICA CONGENITA;RESEZIONE DI ALTRI VASI TORACICI CON SOSTITUZIONE;3845;
7465;STENOSI MITRALICA CONGENITA;REVISIONE DI PROCEDURE CORRETTIVE DEL CUORE;3595;
7465;STENOSI MITRALICA CONGENITA;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
7465;STENOSI MITRALICA CONGENITA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
7465;STENOSI MITRALICA CONGENITA;SOSTITUZIONE DELLA VALVOLA AORTICA CON BIOPROTESI;3521;
7465;STENOSI MITRALICA CONGENITA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA MITRALE SENZA SOSTITUZIONE;3512;
7465;STENOSI MITRALICA CONGENITA;VALVULOPLASTICA PERCUTANEA;3596;
7466;INSUFFICIENZA MITRALICA CONGENITA;ALLARGAMENTO DI DIFETTO ESISTENTE DEL SETTO ATRIALE;3541;
7466;INSUFFICIENZA MITRALICA CONGENITA;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
7466;INSUFFICIENZA MITRALICA CONGENITA;ALTRA SOSTITUZIONE DI VALVOLA MITRALE CON PROTESI;3524;
7466;INSUFFICIENZA MITRALICA CONGENITA;ALTRI INTERVENTI SUI VASI DEL CUORE;3699;
7466;INSUFFICIENZA MITRALICA CONGENITA;CARDIOTOMIA;3711;
7466;INSUFFICIENZA MITRALICA CONGENITA;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
7466;INSUFFICIENZA MITRALICA CONGENITA;CORREZIONE TOTALE DI TRASPOSIZIONE DI GRANDE VASO NON CLASSIFICATO ALTROVE;3584;
7466;INSUFFICIENZA MITRALICA CONGENITA;CREAZIONE DI DIFETTO SETTALE NEL CUORE;3542;
7466;INSUFFICIENZA MITRALICA CONGENITA;INTERVENTI SULLE TRABECOLE CARNOSE DEL CUORE;3535;
7466;INSUFFICIENZA MITRALICA CONGENITA;RESEZIONE DELL'AORTA CON ANASTOMOSI;3834;
7466;INSUFFICIENZA MITRALICA CONGENITA;RIPARAZIONE CON PROTESI DI DIFETTO DEI CUSCINETTI ENDOCARDICI;3554;
7466;INSUFFICIENZA MITRALICA CONGENITA;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
7466;INSUFFICIENZA MITRALICA CONGENITA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON PROTESI, TECNICA APERTA;3551;
7466;INSUFFICIENZA MITRALICA CONGENITA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
7466;INSUFFICIENZA MITRALICA CONGENITA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA AORTICA SENZA SOSTITUZIONE;3511;
7466;INSUFFICIENZA MITRALICA CONGENITA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA MITRALE SENZA SOSTITUZIONE;3512;
7466;INSUFFICIENZA MITRALICA CONGENITA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
7466;INSUFFICIENZA MITRALICA CONGENITA;VALVULOPLASTICA PERCUTANEA;3596;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;ALLARGAMENTO DI DIFETTO ESISTENTE DEL SETTO ATRIALE;3541;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;ALTRA RIPARAZIONE DI ANEURISMI;3952;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;ALTRA SOSTITUZIONE DI VALVOLA POLMONARE CON PROTESI;3526;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;ALTRI INTERVENTI SUI SETTI DEL CUORE;3598;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;ANASTOMOSI ARTERIA CAVA E POLMONARE;3921;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;ANASTOMOSI ARTERIOSO SISTEMICO POLMONARE;390;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;ANGIOPLASTICA O ATERECTOMIA DI VASO NON CORONARICO;3950;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;CARDIOTOMIA;3711;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;CREAZIONE DI CONDOTTO FRA ATRIO E ARTERIA POLMONARE;3594;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;CREAZIONE DI CONDOTTO FRA IL VENTRICOLO SINISTRO E L'AORTA;3593;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;CREAZIONE DI CONDOTTO FRA VENTRICOLO DESTRO E ARTERIA POLMONARE;3592;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;CREAZIONE DI DIFETTO SETTALE NEL CUORE;3542;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;INCISIONE CARDIACA SAI;3710;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;INSERZIONE DI UNO STENT VASCOLARE;0045;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;IPOTERMIA (SISTEMICA) INCIDENTALE PER CHIRURGIA A CUORE APERTO;3962;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;OSSIGENAZIONE EXTRACORPOREA DELLE MEMBRANE (ECMO);3965;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;RESEZIONE DELL'AORTA CON ANASTOMOSI;3834;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;RESEZIONE DI ALTRI VASI TORACICI CON SOSTITUZIONE;3845;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;RIPARAZIONE DI DIFETTO SETTALE NON SPECIFICATO DEL CUORE CON PROTESI;3550;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;SOSTITUZIONE DI VALVOLA POLMONARE CON BIOPROTESI;3525;
7467;SINDROME DEL CUORE SINISTRO IPOPLASICO;VALVULOPLASTICA PERCUTANEA;3596;
74681;STENOSI SUBAORTICA;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
74681;STENOSI SUBAORTICA;ALTRI INTERVENTI SUI SETTI DEL CUORE;3598;
74681;STENOSI SUBAORTICA;ALTRI INTERVENTI SUI VASI DEL CUORE;3699;
74681;STENOSI SUBAORTICA;ANASTOMOSI ARTERIOSO SISTEMICO POLMONARE;390;
74681;STENOSI SUBAORTICA;ANGIOPLASTICA O ATERECTOMIA DI VASO NON CORONARICO;3950;
74681;STENOSI SUBAORTICA;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
74681;STENOSI SUBAORTICA;CREAZIONE DI DIFETTO SETTALE NEL CUORE;3542;
74681;STENOSI SUBAORTICA;INFUNDIBULECTOMIA;3534;
74681;STENOSI SUBAORTICA;INTERVENTI SU ALTRE STRUTTURE ADIACENTI ALLE VALVOLE DEL CUORE;3539;
74681;STENOSI SUBAORTICA;INTERVENTI SULLE CORDE TENDINEE;3532;
74681;STENOSI SUBAORTICA;INTERVENTI SULLE TRABECOLE CARNOSE DEL CUORE;3535;
74681;STENOSI SUBAORTICA;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
74681;STENOSI SUBAORTICA;RIPARAZIONE CON PROTESI DI DIFETTO DEI CUSCINETTI ENDOCARDICI;3554;
74681;STENOSI SUBAORTICA;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
74681;STENOSI SUBAORTICA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON PROTESI, TECNICA APERTA;3551;
74681;STENOSI SUBAORTICA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
74681;STENOSI SUBAORTICA;SOSTITUZIONE DELLA VALVOLA AORTICA CON BIOPROTESI;3521;
74681;STENOSI SUBAORTICA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA AORTICA SENZA SOSTITUZIONE;3511;
74681;STENOSI SUBAORTICA;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
74681;STENOSI SUBAORTICA;VALVULOPLASTICA PERCUTANEA;3596;
74682;CUORE TRIATRIATO;ALTRI INTERVENTI SUI SETTI DEL CUORE;3598;
74682;CUORE TRIATRIATO;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
74682;CUORE TRIATRIATO;CORREZIONE TOTALE DI COMPLETA ANOMALIA DELLA CONNESSIONE VENOSA POLMONARE;3582;
74682;CUORE TRIATRIATO;INTERVENTI SU ALTRE STRUTTURE ADIACENTI ALLE VALVOLE DEL CUORE;3539;
74682;CUORE TRIATRIATO;INTERVENTI SULLE TRABECOLE CARNOSE DEL CUORE;3535;
74682;CUORE TRIATRIATO;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON PROTESI, TECNICA APERTA;3551;
74682;CUORE TRIATRIATO;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
74682;CUORE TRIATRIATO;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
74683;STENOSI POLMONARE INFUNDIBOLARE;ALLARGAMENTO DI DIFETTO ESISTENTE DEL SETTO ATRIALE;3541;
74683;STENOSI POLMONARE INFUNDIBOLARE;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
74683;STENOSI POLMONARE INFUNDIBOLARE;ALTRA TRACHEOSTOMIA PERMANENTE;3129;
74683;STENOSI POLMONARE INFUNDIBOLARE;ANASTOMOSI ARTERIA CAVA E POLMONARE;3921;
74683;STENOSI POLMONARE INFUNDIBOLARE;ANASTOMOSI ARTERIOSO SISTEMICO POLMONARE;390;
74683;STENOSI POLMONARE INFUNDIBOLARE;BYPASS CARDIOPOLMONARE PERCUTANEO;3966;
74683;STENOSI POLMONARE INFUNDIBOLARE;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
74683;STENOSI POLMONARE INFUNDIBOLARE;CORREZIONE TOTALE DI TETRALOGIA DI FALLOT;3581;
74683;STENOSI POLMONARE INFUNDIBOLARE;CREAZIONE DI CONDOTTO FRA IL VENTRICOLO SINISTRO E L'AORTA;3593;
74683;STENOSI POLMONARE INFUNDIBOLARE;INFUNDIBULECTOMIA;3534;
74683;STENOSI POLMONARE INFUNDIBOLARE;INTERVENTI SU ALTRE STRUTTURE ADIACENTI ALLE VALVOLE DEL CUORE;3539;
74683;STENOSI POLMONARE INFUNDIBOLARE;INTERVENTI SULLE TRABECOLE CARNOSE DEL CUORE;3535;
74683;STENOSI POLMONARE INFUNDIBOLARE;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
74683;STENOSI POLMONARE INFUNDIBOLARE;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
74683;STENOSI POLMONARE INFUNDIBOLARE;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON INNESTO TISSUTALE;3561;
74683;STENOSI POLMONARE INFUNDIBOLARE;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
74683;STENOSI POLMONARE INFUNDIBOLARE;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA POLMONARE SENZA SOSTITUZIONE;3513;
74683;STENOSI POLMONARE INFUNDIBOLARE;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
74683;STENOSI POLMONARE INFUNDIBOLARE;VALVULOPLASTICA PERCUTANEA;3596;
74684;ANOMALIE OSTRUTTIVE DEL CUORE, NON CLASSIFICATE ALTROVE;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
74684;ANOMALIE OSTRUTTIVE DEL CUORE, NON CLASSIFICATE ALTROVE;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
74684;ANOMALIE OSTRUTTIVE DEL CUORE, NON CLASSIFICATE ALTROVE;INSERZIONE DI STENT SU ARTERIA NON CORONARIA;3990;
74684;ANOMALIE OSTRUTTIVE DEL CUORE, NON CLASSIFICATE ALTROVE;INTERVENTI SU ALTRE STRUTTURE ADIACENTI ALLE VALVOLE DEL CUORE;3539;
74684;ANOMALIE OSTRUTTIVE DEL CUORE, NON CLASSIFICATE ALTROVE;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
74684;ANOMALIE OSTRUTTIVE DEL CUORE, NON CLASSIFICATE ALTROVE;VALVULOPLASTICA A CUORE APERTO DELLA VALVOLA TRICUSPIDE SENZA SOSTITUZIONE;3514;
74685;ANOMALIE DELL'ARTERIA CORONARIA;ALLARGAMENTO DI DIFETTO ESISTENTE DEL SETTO ATRIALE;3541;
74685;ANOMALIE DELL'ARTERIA CORONARIA;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
74685;ANOMALIE DELL'ARTERIA CORONARIA;ALTRA RIMOZIONE DI OSTRUZIONE DELL'ARTERIA CORONARICA;3609;
74685;ANOMALIE DELL'ARTERIA CORONARIA;ALTRI INTERVENTI SUI VASI DEL CUORE;3699;
74685;ANOMALIE DELL'ARTERIA CORONARIA;ANASTOMOSI ARTERIOSO SISTEMICO POLMONARE;390;
74685;ANOMALIE DELL'ARTERIA CORONARIA;CIRCOLAZIONE EXTRACORPOREA AUSILIARIA PER CHIRURGIA A CUORE APERTO;3961;
74685;ANOMALIE DELL'ARTERIA CORONARIA;CORREZIONE TOTALE DI TETRALOGIA DI FALLOT;3581;
74685;ANOMALIE DELL'ARTERIA CORONARIA;CORREZIONE TOTALE DI TRASPOSIZIONE DI GRANDE VASO NON CLASSIFICATO ALTROVE;3584;
74685;ANOMALIE DELL'ARTERIA CORONARIA;CREAZIONE DI CONDOTTO FRA VENTRICOLO DESTRO E ARTERIA POLMONARE;3592;
74685;ANOMALIE DELL'ARTERIA CORONARIA;OSSIGENAZIONE EXTRACORPOREA DELLE MEMBRANE (ECMO);3965;
74685;ANOMALIE DELL'ARTERIA CORONARIA;RESEZIONE DI ALTRI VASI TORACICI CON ANASTOMOSI;3835;
74685;ANOMALIE DELL'ARTERIA CORONARIA;RIPARAZIONE CON PROTESI DI DIFETTO DEL SETTO INTERVENTRICOLARE;3553;
74685;ANOMALIE DELL'ARTERIA CORONARIA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON PROTESI, TECNICA APERTA;3551;
74685;ANOMALIE DELL'ARTERIA CORONARIA;RIPARAZIONE DI DIFETTO DEL SETTO INTERATRIALE CON SUTURA DIRETTA;3552;
74685;ANOMALIE DELL'ARTERIA CORONARIA;RIPARAZIONE DI VASO SANGUIGNO CON PATCH DI TIPO NON SPECIFICATO;3958;
74685;ANOMALIE DELL'ARTERIA CORONARIA;SOSTITUZIONE DI VALVOLA POLMONARE CON BIOPROTESI;3525;
