ICD9;Patologia;eg;ricgg;isolata;sds
37743;IPOPLASIA DEL NERVO OTTICO;0;0;1;0
4481;NEVO, NON NEOPLASTICO;0;0;1;0
4489;ALTRE E NON SPECIFICATE MALATTIE DEI CAPILLARI;0;0;1;0
5260;CISTI ODONTOGENICHE DELLO SVILUPPO;0;0;1;0
59382;FISTOLA URETERALE;0;0;1;0
5939;PATOLOGIA NON SPECIFICATA DEL RENE E DELL'URETERE;0;0;1;0
6202;ALTRA CISTE OVARICA NON SPECIFICATA;0;0;1;0
70900;DISCROMIA, NON SPECIFICATA;0;0;1;0
7091;ALTERAZIONI VASCOLARI DELLA CUTE;0;0;1;0
7098;ALTRE ALTERAZIONI SPECIFICATE DELLA CUTE;0;0;1;0
7283;ALTRI SPECIFICI DISTURBI MUSCOLARI;0;0;1;0
7289;DISTURBI NON SPECIFICATI DI MUSCOLI, LEGAMENTI E FASCE;0;0;1;0
73399;ALTRI DISTURBI DELLE OSSA E DELLE CARTILAGINI;0;0;1;0
80041;FRATTURA CHIUSA DELLA VOLTA CRANICA CON TRAUMATISMO INTRACRANICO DI ALTRA E NON SPECIFICATA NATURA S;0;0;1;0
8180;FRATTURE CHIUSE MAL DEFINITE DELL'ARTO SUPERIORE;0;0;1;0
8270;ALTRE, MULTIPLE E MAL DEFINITE FRATTURE DELL'ARTO INFERIORE, CHIUSA;0;0;1;0
8290;FRATTURE DI OSSO NON SPECIFICATO, CHIUSA;0;0;1;0
2711;GALATTOSEMIA;0;0;1;0
5937;REFLUSSO VESCICOURETERALE;0;0;1;0
769;SINDROME DA DISTRESS RESPIRATORIO NEONATALE;0;0;1;0
